RadiomicsFeature,RadiomicsValue
mask_necrosis__fla__follow_up_3__original_glszm_LargeAreaLowGrayLevelEmphasis,0.0280012233059545
mask_necrosis__fla__follow_up_3__original_glszm_LowGrayLevelZoneEmphasis,0.0275880001654586
mask_necrosis__fla__follow_up_3__original_glszm_SizeZoneNonUniformity,38.05
mask_necrosis__fla__follow_up_3__original_glszm_SizeZoneNonUniformityNormalized,0.95125
mask_necrosis__fla__follow_up_3__original_glszm_SmallAreaEmphasis,0.977777777777778
mask_necrosis__fla__follow_up_3__original_glszm_SmallAreaHighGrayLevelEmphasis,1697.6694444444445
mask_necrosis__fla__follow_up_3__original_glszm_SmallAreaLowGrayLevelEmphasis,0.0275420864831813
mask_necrosis__fla__follow_up_3__original_glszm_ZoneEntropy,4.871928094887352
mask_necrosis__fla__follow_up_3__original_glszm_ZonePercentage,0.9523809523809524
mask_necrosis__fla__follow_up_3__original_glszm_ZoneVariance,0.0975
mask_necrosis__fla__follow_up_3__original_gldm_DependenceEntropy,4.916126946588273
mask_necrosis__fla__follow_up_3__original_gldm_DependenceNonUniformity,36.333333333333336
mask_necrosis__fla__follow_up_3__original_gldm_DependenceNonUniformityNormalized,0.8650793650793651
mask_necrosis__fla__follow_up_3__original_gldm_DependenceVariance,0.1337868480725623
mask_necrosis__fla__follow_up_3__original_gldm_GrayLevelNonUniformity,1.5714285714285714
mask_necrosis__fla__follow_up_3__original_gldm_GrayLevelVariance,348.97108843537416
mask_necrosis__fla__follow_up_3__original_gldm_HighGrayLevelEmphasis,1650.1190476190477
mask_necrosis__fla__follow_up_3__original_gldm_LargeDependenceEmphasis,1.3333333333333333
mask_necrosis__fla__follow_up_3__original_gldm_LargeDependenceHighGrayLevelEmphasis,1811.452380952381
mask_necrosis__fla__follow_up_3__original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0270613775680479
mask_necrosis__fla__follow_up_3__original_gldm_LowGrayLevelEmphasis,0.0263726723338882
mask_necrosis__fla__follow_up_3__original_gldm_SmallDependenceEmphasis,0.9431216931216932
mask_necrosis__fla__follow_up_3__original_gldm_SmallDependenceHighGrayLevelEmphasis,1622.5899470899471
mask_necrosis__fla__follow_up_3__original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0262551551709165
mask_necrosis__fla__follow_up_3__original_ngtdm_Busyness,0.017376517227001
mask_necrosis__fla__follow_up_3__original_ngtdm_Coarseness,0.0724016032816355
mask_necrosis__fla__follow_up_3__original_ngtdm_Complexity,7230.079947475421
mask_necrosis__fla__follow_up_3__original_ngtdm_Contrast,7.2592607193070435
mask_necrosis__fla__follow_up_3__original_ngtdm_Strength,113.5679577369439
mask_all__fla__follow_up_3__original_shape_Elongation,0.7160858000536782
mask_all__fla__follow_up_3__original_shape_Flatness,0.46350199577358553
mask_all__fla__follow_up_3__original_shape_LeastAxisLength,10.99532895062926
mask_all__fla__follow_up_3__original_shape_MajorAxisLength,23.72229041274795
mask_all__fla__follow_up_3__original_shape_Maximum2DDiameterColumn,22.20360331117452
mask_all__fla__follow_up_3__original_shape_Maximum2DDiameterRow,26.1725046566048
mask_all__fla__follow_up_3__original_shape_Maximum2DDiameterSlice,30.886890422961
mask_all__fla__follow_up_3__original_shape_Maximum3DDiameter,31.44837038703277
mask_all__fla__follow_up_3__original_shape_MeshVolume,2257.875
mask_all__fla__follow_up_3__original_shape_MinorAxisLength,16.98719530931831
mask_all__fla__follow_up_3__original_shape_Sphericity,0.5829098143903932
mask_all__fla__follow_up_3__original_shape_SurfaceArea,1427.8503321185303
mask_all__fla__follow_up_3__original_shape_SurfaceVolumeRatio,0.6323867938298313
mask_all__fla__follow_up_3__original_shape_VoxelVolume,2285.0
mask_all__fla__follow_up_3__original_firstorder_10Percentile,686.1949060528266
mask_all__fla__follow_up_3__original_firstorder_90Percentile,1005.4028991387498
mask_all__fla__follow_up_3__original_firstorder_Energy,1658716567.157672
mask_all__fla__follow_up_3__original_firstorder_Entropy,6.284175282990796
mask_all__fla__follow_up_3__original_firstorder_InterquartileRange,177.49467911527222
mask_all__fla__follow_up_3__original_firstorder_Kurtosis,2.3728859063365384
mask_all__fla__follow_up_3__original_firstorder_MeanAbsoluteDeviation,95.98471955876876
mask_all__fla__follow_up_3__original_firstorder_Mean,844.0400465458365
mask_all__fla__follow_up_3__original_firstorder_Median,842.1600753215254
mask_all__fla__follow_up_3__original_firstorder_Range,525.6871389122607
mask_all__fla__follow_up_3__original_firstorder_RobustMeanAbsoluteDeviation,71.64514087045764
mask_all__fla__follow_up_3__original_firstorder_RootMeanSquared,852.0066588221703
mask_all__fla__follow_up_3__original_firstorder_Skewness,-0.2531923398942773
mask_all__fla__follow_up_3__original_firstorder_TotalEnergy,1658716567.157672
mask_all__fla__follow_up_3__original_firstorder_Uniformity,0.0162649569784868
mask_all__fla__follow_up_3__original_firstorder_Variance,13511.746504220437
mask_all__fla__follow_up_3__original_glcm_Autocorrelation,5755.443747162313
mask_all__fla__follow_up_3__original_glcm_ClusterProminence,9173108.116964914
mask_all__fla__follow_up_3__original_glcm_ClusterShade,-31255.418699068137
mask_all__fla__follow_up_3__original_glcm_ClusterTendency,1931.5482028898248
mask_all__fla__follow_up_3__original_glcm_Contrast,166.5072399493815
mask_all__fla__follow_up_3__original_glcm_Correlation,0.8420993851628295
mask_all__fla__follow_up_3__original_glcm_DifferenceAverage,9.379950640547388
mask_all__fla__follow_up_3__original_glcm_DifferenceEntropy,4.629710696710685
mask_all__fla__follow_up_3__original_glcm_DifferenceVariance,72.40590922683685
mask_all__fla__follow_up_3__original_glcm_Id,0.2307900032244694
mask_all__fla__follow_up_3__original_glcm_Idm,0.1532360930168963
mask_all__fla__follow_up_3__original_glcm_Idmn,0.9860324021566657
mask_all__fla__follow_up_3__original_glcm_Idn,0.9236550281202576
mask_all__fla__follow_up_3__original_glcm_Imc1,-0.3193195346054711
mask_all__fla__follow_up_3__original_glcm_Imc2,0.9898141512846114
mask_all__fla__follow_up_3__original_glcm_InverseVariance,0.1177781119284257
mask_all__fla__follow_up_3__original_glcm_JointAverage,72.89509094112512
mask_all__fla__follow_up_3__original_glcm_JointEnergy,0.0029485117836188
mask_all__fla__follow_up_3__original_glcm_JointEntropy,10.467599660681426
mask_all__fla__follow_up_3__original_glcm_MCC,0.8772088819811998
mask_all__fla__follow_up_3__original_glcm_MaximumProbability,0.0465201726474839
mask_all__fla__follow_up_3__original_glcm_SumAverage,145.79018188225
mask_all__fla__follow_up_3__original_glcm_SumEntropy,7.162770371021713
mask_all__fla__follow_up_3__original_glcm_SumSquares,524.5138607098014
mask_all__fla__follow_up_3__original_glrlm_GrayLevelNonUniformity,29.03039559143798
mask_all__fla__follow_up_3__original_glrlm_GrayLevelNonUniformityNormalized,0.0135778842649528
mask_all__fla__follow_up_3__original_glrlm_GrayLevelVariance,508.2951466919572
mask_all__fla__follow_up_3__original_glrlm_HighGrayLevelRunEmphasis,5229.354650869032
